pub_date,title,venue,vol,pages,year,author1,author2,mypos,citation,url_slug,paper_url,excerpt,,,,,,,,,,,,
2020-01-01,Spiral-like Structure: Unwinding Holographic Interference,J. Phys. Conf. Ser.,1412,72011,2020,0,X. Y. Lai,1,A. S. Maxwell et al. Spiral-like Structure: Unwinding Holographic Interference J. Phys.: Conf. Ser. 1412,72011,H. P. Kang, A. S. Maxwell et al. Holographic detection of parity in atomic and molecular orbitals Phys. Rev. A 102, 13109 (2020),https://iopscience.iop.org/article/10.1088/1742-6596/1412/7/072011/meta,,,,,,,,,,
2020-01-28,It is all about phases: ultrafast holographic photoelectron imaging,Rep. Prog. Phys. ,83,34401,2020,C. Figueira de Morisson Faria,0,2,C. Figueira de Morisson Faria and A. S. Maxwell. Rep. Prog. in Phys. 83, 034401 (2020),It is all about phases: ultrafast holographic photoelectron imaging,https://iopscience.iop.org/article/10.1088/1361-6633/ab5c91/meta,,,,,,,,,,,,
2020-07-20,Holographic detection of parity in atomic and molecular orbitals,Phys. Rev. A,102,13109,2020,H. P. Kang,0,2,H. P. Kang, A. S. Maxwell et al. Holographic detection of parity in atomic and molecular orbitals Phys. Rev. A 102, 13109 (2020),Holographic detection of parity in atomic and molecular orbitals,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.102.013109,,,,,,,,,,,
2020-09-21,Spiral-like Holographic Structures: Unwinding Interference Carpets of Coulomb-Distorted Orbits in Strong-Field Ionization,Phys. Rev. A,102,33111,2020,0,X. Y. Lai,1,A. S. Maxwell, X. Y. Lai, R. P. Sun, X. J. Liu, C. Figueira de Morisson Faria Phys. Rev. A 102, 033111 (2020),Spiral-like holographic structures: Unwinding interference carpets of Coulomb-distorted orbits in strong-field ionization,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.102.033111,,,,,,,,
2020-10-16,Manipulating Twisted Electrons in Strong-Field Ionization,Faraday Discussions,2020,0,0,0,G. S. J. Armstrong,1,A. S. Maxwell, G. S. J. Armstrong, M. F. Ciappina, E. Pisanty, Y. Kang, A. C. Brown, M. Lewenstein & C. Figueira de Morisson Faria, Faraday Discussions (2020),Manipulating Twisted Electrons in Strong-Field Ionization,https://pubs.rsc.org/en/Content/ArticleLanding/2020/FD/D0FD00105H#!divAbstract,,,,,,
2020-10-21,Circular dichroism in higher-order harmonic generation: Heralding topological phases and transitions in Chern insulators,Phys. Rev. B,102,134115,2020,A. Chacón,D. Kim,0,Alexis Chacón, Dasol Kim, Wei Zhu, Shane P. Kelly, Alexandre Dauphin, Emilio Pisanty, Andrew S. Maxwell, Antonio Picón, Marcelo F. Ciappina, Dong Eon Kim, Christopher Ticknor, Avadh Saxena, and Maciej Lewenstein Phys. Rev. B 102, 134115 (2020),Circular dichroism in higher-order harmonic generation: Heralding topological phases and transitions in Chern insulators,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.102.134115
2021-07-20,Dialogue on analytical and ab initio methods in attoscience,Eur. Phys. J. D,75,209,2021,G. S. J. Armstrong,M. A. Khokhlova,0,Gregory S. J. Armstrong, Margarita A. Khokhlova, Marie Labeye, Andrew S. Maxwell, Emilio Pisanty & Marco Ruberti, arXiv:2101.09335 (2021),Dialogue on analytical and ab initio methods in attoscience,https://arxiv.org/abs/2101.09335,,,,,,,,
2021-05-28,Principal frequency of an ultrashort laser pulse,Phys. Rev. A ,103,53124,2021,E.  G. Neyra,0,0,Enrique G. Neyra, Pablo Vaveliuk, Emilio Pisanty, Andrew S. Maxwell, Maciej Lewenstein & Marcelo F. Ciappina, arXiv:2101.10526 (2021),Principal frequency of an ultrashort laser pulse,https://arxiv.org/abs/2101.10526,,,,,,,,
2021-07-09,Conservation laws for Electron Vortices in Strong-Field Ionisation,Eur. Phys. J. D,75,199,2021,Y. Kang,Emilio Pisanty,-1,Yuxin Kang, Emilio Pisanty, Marcelo Ciappina, Maciej Lewenstein, Carla Figueira de Morisson Faria, Andrew S Maxwell, arXiv:2102.07453 (2021),Conservation laws for Electron Vortices in Strong-Field Ionisation,https://arxiv.org/abs/2102.07453,,,,,,,
2021-07-19,Dissecting Sub-Cycle Interference in Photoelectron Holography,Phys. Rev. A (under review),104,13109,2021,N. Werby,0,1,Nicholas Werby, Andrew S. Maxwell, Ruaridh Forbes, Philip H. Bucksbaum, Carla Figueira de Morisson Faria, arXiv:2102.12000 (2021),Dissecting Sub-Cycle Interference in Photoelectron Holography,https://arxiv.org/abs/2102.12000,,,,,,,,
2021-04-28,Quantum Estimation in Strong Fields: in situ ponderomotive sensing,Phys. Rev. A,103,43519,2021,0,A. Serafini,1,A.S. Maxwell, A. Serafini, S. Bose, C. Figueira de Morisson Faria, Phys. Rev. A 103, 043519 (2021),Quantum Estimation in Strong Fields: in situ ponderomotive sensing,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.103.043519,,,,,,,,
